ESP_MUE,COD_ESP_MUE,ESP_CAT,COD_ESP_CAT
Auxis spp,11165,Auxis rochei,10654
Auxis spp,11165,Auxis thazard,10653
Beryx spp,10313,Beryx decadactylus,10314
Beryx spp,10313,Beryx splendens,10315
Dentex spp,10498,Dentex canariensis,10501
Dentex spp,10498,Dentex dentex,10502
Dentex spp,10498,Dentex gibosus,10499
Diplodus spp,10492,Diplodus sargus,10494
Diplodus spp,10492,Diplodus vulgaris,10495
Diplodus spp,10492,Diplodus puntazzo,10497
Diplodus spp,10492,Diplodus belloti,11192
Diplodus spp,10492,Diplodus cervinus,10496
Diplodus spp,10492,Diplodus annularis,10493
Eledone spp,30191,Eledone cirrhosa,30189
Eledone spp,30191,Eledone moschata,30190
Lepidorhombus spp,10798,Lepidorhombus boscii,10800
Lepidorhombus spp,10798,Lepidorhombus whiffiagoni,10799
Lophius spp,10821,Lophius budegassa,10823
Lophius spp,10821,Lophius piscatorius,10822
Microchirus spp,10788,Microchirus variegatus,10792
Microchirus spp,10788,Microchirus azevia,13390
Mullus spp,10540,Mullus surmuletus,10541
Mullus spp,10540,Mullus barbutus,10542
Mustelus spp,10042,Mustelus mustelus,10044
Mustelus spp,10042,Mustelus asterias,10045
Ommastrephidae,30171,Illex coindetti,30177
Ommastrephidae,30171,Todaropsis eblanae,30170
Ommastrephidae,30171,Todarodes sagitattus,30181
Rajidae,10864,Raja clavata,10090
Rajidae,10864,Raja asterias,10096
Rajidae,10864,Leucoraja naevus,10092
Rajidae,10864,Raja microocellata,10093
Rajidae,10864,Raja montagui,10091
Rajidae,10864,Leucoraja fullonica,10088
Rajidae,10864,Leucoraja circularis,10097
Rajidae,10864,Raja brachyura,10094
Scorpaenidae,10705,Scorpaena scrofa,10717
Scorpaenidae,10705,Scorpaena porcus,10716
Scorpaenidae,10705,Scorpaena notata,10720
Scorpaenidae,10705,Trachyscorpia cristulata,13356
Sepia spp,30156,Sepia elegans,30160
Sepia spp,30156,Sepia officinalis,30159
Sepia spp,30156,Sepia orbignyana,30161
Trachurus spp,10413,Trachurus trachurus,10414
Trachurus spp,10413,Trachurus picturatus,10415
Trachurus spp,10413,Trachurus mediterraneus,10416
Triglidae,10726,Chelidonichthys lucerna,10731
Triglidae,10726,Chelidonichthys cuculus,11173
Triglidae,10726,Chelidonichthys obscurus,10739
Triglidae,10726,Trigla lyra,10729
Triglidae,10726,Eutrigla gurnardus,10737
Triglidae,10726,Chelidonichthys lastoviza,10725
Trisopterus spp,10273,Trisopterus luscus,10276
Trisopterus spp,10273,Trisopterus minutus,10275
