ORIGINAL_VAR,MASTER_VAR,HUMANIZED_MASTER_VAR,HUMANIZED_VAR,MASTER
COD_PUERTO,COD_PUERTO,PUERTO,PUERTO,puerto
COD_BARCO,BARCOD,BARDES,BARCO,maestro_flota_sireno
COD_ARTE,COD_ARTE,ARTE,ARTE,arte
COD_ORIGEN,COD_ORIGEN,ORIGEN,ORIGEN,origen
COD_TIPO_MUE,COD_TIPO_MUE,TIPO_MUE,TIPO_MUE,tipo_mue
COD_ESP_MUE,COD_ESP,ESP,ESP_MUE,especies
COD_ESP_CAT,COD_ESP,ESP,ESP_CAT,especies
COD_PUERTO_BASE,COD_PUERTO,PUERTO,PUERTO_BASE,puerto
COD_PUERTO_LLEGADA,COD_PUERTO,PUERTO,PUERTO_LLEGADA,puerto
COD_PUERTO_DESCARGA,COD_PUERTO,PUERTO,PUERTO_DESCARGA,puerto
